PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_NATIVE_MASK,PAPI_PRESET_MASK,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
416102122,630470935,580675,234046726,411866689,179676999,213007952,537,39914,10856,39423,617182630,325082808,71324,26773707,56959,6009,26831196,26821992,12215,57742,10284,26739444,24377553,27608,26693719,7361,552,48945717,41350,26705990,17800,12299,7355,552,27477,27477,5,39545,140,39324,559,795288161,1260143124,5887,1059660847,75391,4457,963999960,2094280,464845349,251214205,58643672,11252,2318,1058980830,2828069541,4,4550020
595413538,901831414,944955,336743346,590476248,256625668,304706727,556,39507,10801,38807,886907941,474172685,72418,35527476,277525,5463,35513620,35505741,11848,58252,9670,35400601,35321618,27217,35461467,7206,558,71072924,39819,35681620,29415,11882,7192,566,27525,27525,2,39567,169,39311,569,1135782656,1799685837,5246,1523620952,441232,4290,1385917440,3263027,663893682,366175168,81578527,16378,2476,1526409469,4054003794,4,6500013
298200620,451868035,394678,167242724,294284094,128375338,152206420,562,40330,11245,39667,442615885,236726852,65282,19516381,54301,5264,19456912,19449024,12243,52640,9346,19477652,17936559,27762,19357215,7329,544,35678591,39312,19569498,10477,11930,7305,537,27758,27758,6,39961,167,39265,533,568281355,900434128,7126,761545939,67605,4276,688624800,1555384,332143036,179753735,41863051,30767,2345,758871069,2020745551,4,3250020
357142906,541160379,527169,200643580,352974049,154025298,182606363,551,39627,11001,39086,528822323,283204371,66849,22931808,52064,5139,23019692,23011995,11830,52308,9130,23002170,20973996,27071,23051759,7174,574,42059689,39789,22986640,12680,12054,7208,554,27409,27409,3,39405,177,39076,573,681781434,1080284032,6582,911053068,69404,4026,825877800,1906075,398492847,247999737,50012976,10110,2183,910634722,2424396684,4,3900020
533931056,808998637,771758,300843999,529441948,230975476,273806443,552,39511,10810,39439,794023221,424278472,416200,34309231,61491,7378,34390884,34381615,11872,59641,11121,34251442,31269492,27932,34288590,7368,553,64903563,39151,34163673,68591,11687,7344,536,27297,27297,3,39568,174,39112,569,1024988424,1624794896,6198,1440201284,2815710,4148,1303007520,7391210,599796805,383735733,85110837,9676,2077,1431541090,3642122262,4,5850020
119305526,181324902,482700,65645334,115777585,50827105,60408593,512,39007,10620,39056,175410233,95811579,81594,11032177,81748,4293,11127405,11121134,11824,49381,7546,11058967,11037675,27761,11110019,7167,496,22147165,38841,11162204,39224,11637,7236,516,27168,27168,10,39377,129,38953,510,226188290,359595104,5501,320041603,89151,4135,290761440,2003590,133397148,89472913,21380169,6465,1891,321151039,801725174,4,1300020
498435383,769905087,2080801,288696679,493148945,207577569,269759077,534,40398,11324,40269,767451803,427217423,4590761,41852302,3105710,12496,42264685,42239501,12097,101775,46926,42375956,42070265,27358,42191169,7415,499,87606501,39963,42043419,606812,12328,7503,544,27427,27427,4,39338,166,39838,532,979990302,1572597673,5518,1392565689,4800054,4242,1256285280,7877455,592597571,382020525,85427059,18310,1926,1386188116,3481030148,4,5850013
592900524,898320507,2406838,333248210,587381915,257627976,304208974,608,39564,10707,39519,880990939,471914042,71507,38345743,60274,6420,38285549,38276676,12154,58775,10632,38320978,34866209,27316,38270807,7277,587,70415735,39468,38335581,21342,11917,7386,563,27195,27195,4,39020,136,38894,594,1135783978,1799686864,5677,1519126044,81092,4653,1375464360,2903444,663893208,358189801,82660627,15922,2913,1513498339,4039007605,4,6500020
352656956,535474360,412340,198542852,348506371,151625635,181106509,592,39473,10797,38991,529118382,286167866,187866,34191545,456135,8168,34375134,34367852,11941,211146,32256,34324402,34113057,27212,34123688,7297,559,68739800,39430,34450949,266990,11672,7402,548,27803,27803,4,39202,185,38915,545,675182634,1073085723,6305,906691315,486572,4239,836559120,2151667,397893674,226914589,54597834,26972,2250,908189764,2404602561,4,3900013
349630240,531247879,488360,197944521,345567190,149225636,179906413,530,40165,10885,39463,525906119,281948992,379211,31167799,2326063,4397,31627318,31595623,11495,371653,19412,31254695,31327780,27368,31219145,7383,564,65201429,39132,31893482,432826,11507,7414,568,26939,26939,2,39676,152,38666,530,669181960,1064084595,5666,899498783,3091371,3893,815237880,1819263,394892926,227686290,50956517,10555,1824,896573065,2386002343,4,3900013
